Przychody_ogolem;Aktywa_ogolem;Zobowiazania_ogolem;Zysk_netto;W1;W2;W3;W4;W5;W6;W7;W8;W9;W10;W11;W12;W13;W14;W15;Grupujaca
5,52;1,01;1,1;-0,34;-33,87;394,58;-6,16;-33,66;5,43;37,87;66,78;0;0,85;0,77;0,04;-0,15;6,56;93,96;-8,91;UpadloϾ
7,52;3,53;3,15;-1,21;-34,35;-323,55;-16,09;-34,28;47,56;73,71;171,34;24,75;1,13;0,81;0;0,11;18,83;95,21;10,48;UpadloϾ
0,4;1,13;1,67;-0,4;-34,43;71,53;-100;-35,4;60,94;832,84;1031,13;511;0,64;0,6;0;-0,5;47,36;92,15;-47,79;UpadloϾ
1,33;0,82;1,07;-0,28;-34,69;118,12;-21,05;-34,15;131,33;5,2;225,04;46,65;0,55;0,1;0,03;-0,59;20,14;100;-29,27;UpadloϾ
5,46;28,21;49,97;0;-34,83;45,17;0;-32,58;0;919,91;1885,83;69,52;0,51;0,51;0,01;-0,87;4,08;99,78;-77,14;UpadloϾ
12,32;6,85;7,17;-2,39;-34,88;763,84;-19,4;-31,09;0;95,55;202,94;12,74;0,96;0,96;0;-0,05;6,32;100;-4,53;UpadloϾ
0,68;0,45;0,46;-0,14;-35,16;990,91;-20,59;-31,11;14,49;1,09;241,54;5,37;0,22;0,15;0,01;-0,69;10,06;92,89;-4,44;UpadloϾ
0,16;0,13;0,17;-0,05;-35,45;115,41;-31,25;-38,46;52,05;80,78;296,56;45,63;0,82;0,56;0;-0,15;77,51;50,7;-30,77;UpadloϾ
0,27;0,7;1,98;-0,26;-35,53;19,61;-96,3;-37,14;47,6;392,52;946,3;0;0,34;0,32;0;-1,69;10,96;86,53;-182,86;UpadloϾ
1,49;1,43;1,81;-0,53;-35,76;136,27;-35,57;-37,06;6,87;9,35;350,3;78,39;0,18;0,16;0;-0,76;59,24;69,82;-26,57;UpadloϾ
0,3;0,95;0,52;-0,32;-36,04;-79,96;-106,67;-33,68;18,49;449,39;1155,83;0;1,82;1,79;0,15;0,41;0;99,94;45,26;UpadloϾ
1,48;1,65;1,95;-0,6;-36,15;196,29;-40,54;-36,36;42,36;86,55;406,93;64,12;0,42;0,33;0,04;-0,69;15,82;100;-18,18;UpadloϾ
0,6;0,3;0,35;-0,12;-36,99;205,93;-20;-40;35,41;20;182,5;0;0,3;0,13;0,03;-0,87;0;100;-16,67;UpadloϾ
1,34;2,11;1,89;-0,82;-37,27;-356,26;-61,19;-38,86;97,25;7,7;574,74;160,71;0,39;0,15;0;-0,46;27,01;80,12;10,43;UpadloϾ
1,93;0,47;0,61;-0,19;-37,44;120,99;-9,84;-40,43;30,91;22,14;88,89;0;1,03;0,6;0,02;0,02;50,74;61,25;-29,79;UpadloϾ
1,48;0,43;9,87;-0,17;-37,66;1,72;-11,49;-39,53;0;78,96;106,05;125,78;0,04;0,04;0;-22,86;113,23;100;-2195,35;UpadloϾ
1,56;1,55;3,23;-0,64;-38,7;35,8;-41,03;-41,29;42,76;4,97;362,66;30,42;0,1;0,02;0;-1,37;44,12;68,54;-108,39;UpadloϾ
0,2;0,35;0,31;-0,13;-38,7;-319,46;-65;-37,14;98,69;57,1;638,75;36,5;1,15;0,97;0,01;0,11;9,02;98,43;11,43;UpadloϾ
9,59;0,64;0,71;-0,26;-38,86;345,85;-2,71;-40,63;2,02;12,5;24,36;2,28;0,87;0,8;0,06;-0,16;8,32;100;-10,94;UpadloϾ
0,5;0,65;1,04;-0,27;-39,01;64,81;-54;-41,54;0;98,03;474,5;277,4;0,19;0,19;0;-1,38;54,89;100;-60;UpadloϾ
1,22;0,84;0,73;-0,35;-39,07;-287,01;-28,69;-41,67;4,42;22,17;251,31;26,93;0,33;0,3;0,06;-0,46;29,81;75,31;13,1;UpadloϾ
0,11;0,73;0,83;-0,28;-39,11;274,07;-254,55;-38,36;324,1;644,57;2422,27;1460;0,86;0,74;0;-0,16;61,26;100;-13,7;UpadloϾ
2,09;0,91;2,36;-0,37;-39,24;24,63;-17,7;-40,66;93,75;43,72;158,92;0;0,48;0,19;0;-1,09;58,56;77,42;-159,34;UpadloϾ
0,05;0,05;0,23;-0,02;-39,42;11,67;-40;-40;1,1;118,88;365;73;0,13;0,13;0,01;-3,6;15,36;100;-360;UpadloϾ
0,99;0,57;0,35;-0,21;-39,63;-101,29;-21,21;-36,84;42,22;31,82;210,15;25,81;0,77;0,41;0,02;-0,12;12,57;92,7;38,6;UpadloϾ
0,14;0,12;0,01;-0,04;-39,7;-43,68;-28,57;-33,33;0;6,01;312,86;0;9,51;9,51;7,07;0,58;1,79;80,37;91,67;UpadloϾ
0,18;0,2;0,21;-0,08;-39,87;861,46;-44,44;-40;0;97,78;405,56;0;0,23;0,23;0;-0,85;0;100;-5;UpadloϾ
0,27;0,07;0,13;-0,03;-39,92;53,16;-11,11;-42,86;33,29;0,75;94,63;0;11,81;7,57;4,05;0,86;0;4,74;-71,43;UpadloϾ
1,84;0,3;0,41;-0,13;-40,04;109,66;-7,07;-43,33;4,67;0;59,51;0;0,66;0,59;0,01;-0,4;24,43;82,11;-36,67;UpadloϾ
0,46;0,25;0,39;-0,1;-40,06;75,08;-21,74;-40;1,57;47,83;198,37;206,3;0,37;0,37;0,19;-0,96;100,79;100;-56;UpadloϾ
1,33;0,28;0,31;-0,03;-40,43;389,34;-2,26;-10,71;9,29;4,25;76,84;0;0,79;0,68;0,02;-0,25;0;100;-10,71;UpadloϾ
2,47;1,54;1,94;-0,58;-41,13;157,77;-23,48;-37,66;27,9;190,07;227,57;0;0,8;0,71;0,01;-0,22;1,88;98,51;-25,97;UpadloϾ
2,11;1,99;1,53;-0,75;-41,17;-177,72;-35,55;-37,69;21,55;33,49;344,24;98,6;0,54;0,42;0,01;-0,22;55,46;68;23,12;UpadloϾ
2,75;1,34;2,06;-0,51;-41,25;77,48;-18,55;-38,06;63,55;24,97;177,85;37,16;0,47;0,2;0;-0,65;43,95;86,18;-52,99;UpadloϾ
0,45;0,87;2,04;-0,36;-41,31;30,63;-80;-41,38;5,72;114,53;705,67;1565,44;0,34;0,34;0,02;-1,54;221,98;100;-134,48;UpadloϾ
0,15;0,14;0,41;-0,06;-41,4;22,25;-40;-42,86;287,05;19,15;340,67;292;0,34;0,05;0,01;-1,86;85,97;100;-192,86;UpadloϾ
0,14;0,53;0,55;-0,22;-41,68;787,83;-157,14;-41,51;0;33,3;1381,79;0;0,95;0,95;0,03;-0,06;0;100;-5,66;UpadloϾ
1,41;0,39;0,32;-0,17;-41,96;-233,63;-12,06;-43,59;2,51;30,7;100,96;56,95;0,93;0,9;0,31;-0,05;61,89;91,09;17,95;UpadloϾ
1,73;0,25;0,32;-0,11;-42,54;141,16;-6,36;-44;0,21;27,5;52,75;2,11;0,7;0,69;0,07;-0,4;3,49;97,47;-28;UpadloϾ
5,46;2,19;5,02;-0,98;-43,16;33,44;-17,95;-44,75;59,16;16,47;146,4;223,28;0,31;0,13;0,01;-1,66;146,41;100;-129,22;UpadloϾ
0,26;0,48;1,39;-0,22;-43,7;23,15;-84,62;-45,83;643,79;0;673,85;0;0,51;0,02;0;-1;0;67,74;-189,58;UpadloϾ
3,42;2,1;1,17;-0,92;-44;-98,7;-26,9;-43,81;40,7;59,28;224,12;72,57;0,82;0,49;0,01;-0,1;32,34;100;44,76;UpadloϾ
0,1;0,14;0,15;-0,06;-44,08;374,24;-60;-42,86;260,05;201,33;511;0;1,27;0,62;0;0,21;32,78;70,68;-14,29;UpadloϾ
2,86;2,43;3,57;-0,99;-44,15;94,22;-34,62;-40,74;2,95;77,28;310,12;34,46;0,46;0,45;0;-0,63;33,64;85,44;-46,91;UpadloϾ
0,45;0,1;0,13;-0,05;-44,32;129,53;-11,11;-50;3,79;32,77;81,11;89,22;0,54;0,5;0;-0,7;106,57;100;-30;UpadloϾ
0,1;0,42;0,36;-0,18;-45,82;-355,8;-180;-42,86;0;7,97;1533;146;1,89;1,89;0,53;0,21;71,6;29,24;11,9;UpadloϾ
1,97;0,8;1,42;-0,37;-45,91;58,63;-18,78;-46,25;0,16;23,32;148,22;0;0,1;0,1;0,01;-1,49;0;93,09;-77,5;UpadloϾ
6,95;8,52;9,23;-3,65;-46,54;556,15;-52,52;-42,84;0,09;144,3;447,45;163,86;0,51;0,51;0,01;-0,49;39,8;99,93;-8,33;UpadloϾ
6,05;3,14;2,66;-1,55;-46,65;-305,09;-25,62;-49,36;14,76;34,17;189,44;3,02;0,41;0,32;0;-0,51;3,72;97,26;15,29;UpadloϾ
0,51;3,84;5,52;-1,65;-46,67;106,52;-323,53;-42,97;63,48;44,25;2748,24;2640,88;0,04;0,02;0;-1,27;104,32;99,88;-43,75;UpadloϾ
0,09;1,56;2,43;-0,77;-47,54;84,25;-855,56;-49,36;458,05;153,74;6326,67;8070,56;0,08;0,02;0;-1,36;137,38;90,64;-56,41;UpadloϾ
2,17;0,58;0,65;-0,29;-48,35;414,63;-13,36;-50;40,77;13,68;97,56;42,05;0,73;0,36;0;-0,31;41;100;-12,07;UpadloϾ
2,75;2,69;3,14;-1,39;-48,71;291,94;-50,55;-51,67;21,96;26,49;357,04;106,18;0,27;0,16;0,03;-0,45;68,69;49,63;-16,73;UpadloϾ
2,93;0,31;0,24;-0,14;-49,17;-214,46;-4,78;-45,16;0;25;38,62;13,7;1,17;1,17;0,11;0,1;46,32;91,76;22,58;UpadloϾ
4,78;1,28;1,42;-0,63;-49,48;438,37;-13,18;-49,22;27,56;32,48;97,74;6,11;0,62;0,37;0,01;-0,42;5,91;100;-10,94;UpadloϾ
0,52;0,09;0,07;-0,05;-49,6;-194,76;-9,62;-55,56;0;57,07;63,17;0;1,34;1,34;0;0,22;0;100;22,22;UpadloϾ
7,4;1,34;1,41;-0,7;-49,96;925,99;-9,46;-50;1,39;28,43;66,09;40,45;0,57;0,55;0,05;-0,47;59,05;99,29;-5,22;UpadloϾ
1,35;0,61;0,45;-0,31;-50,24;-197,16;-22,96;-50,82;0;50,73;164,93;0;12,93;12,93;6,06;0,56;0;6,36;26,23;UpadloϾ
0,25;1,97;2,09;-1,07;-52,12;903,97;-428;-54,31;0;0;2876,2;0;171,57;171,57;0;0,34;0;0,18;-5,58;UpadloϾ
35,73;31,95;42,25;-16,67;-52,17;161,72;-46,66;-63,79;80,88;0;326,39;0;0,4;0,21;0,01;-0,78;0;98,15;-32,27;UpadloϾ
0,02;0,09;0,28;-0,05;-52,31;24,01;-250;-55,56;15,77;801,38;1642,5;0;0,46;0,46;0,13;-1,11;101,85;67,96;-211,11;UpadloϾ
0,12;1,12;0,15;-0,61;-52,33;-160,53;-508,33;-54,46;8,52;1000,2;3406,67;517,08;10,59;10,55;0;0,63;21,85;46,3;33,04;UpadloϾ
2,22;0,49;0,76;-0,28;-52,85;96,79;-12,61;-57,14;4,35;22,35;80,56;36,17;0,29;0,25;0,03;-1,02;62,48;87,19;-55,1;UpadloϾ
0,59;0,12;0,15;-0,06;-53,2;184,62;-10,17;-50;12,98;0;74,24;0;0,74;0,61;0;-0,33;0;100;-25;UpadloϾ
0,89;0,52;0,68;-0,27;-53,21;165,38;-30,34;-51,92;54,7;29,69;213,26;0;0,42;0,15;0;-0,56;15,52;72,31;-32,69;UpadloϾ
4,97;3,52;3,25;-1,75;-53,88;-707,07;-35,21;-47,73;79,16;25,02;258,51;85,93;0,76;0,35;0;-0,16;45,65;80,94;7,67;UpadloϾ
2,69;3,3;5,06;-1,89;-53,9;101,18;-70,26;-57,27;0,45;139,08;447,77;33,92;0,38;0,38;0;-0,61;9,34;59,84;-53,33;UpadloϾ
6,08;7,04;8,74;0;-54,45;225,63;0;-50,14;0,59;167,28;422,63;100,25;0,65;0,65;0,03;-0,36;25,93;88,91;-24,15;UpadloϾ
3,16;3,04;2,22;-1,66;-54,49;-202,58;-52,53;-54,61;109,41;155,98;351,14;43,89;1,63;1,11;0,12;0,38;12,39;81,99;26,97;UpadloϾ
3,43;3,83;2,77;-2,18;-56,96;-204,98;-63,56;-56,92;0;89,42;407,57;0;0,59;0,59;0,03;-0,22;19,85;72,51;27,68;UpadloϾ
0,83;0,2;1,72;-0,12;-57,16;7,71;-14,46;-60;0;29,57;87,95;0;0,5;0,5;0,33;-1,05;0;23,83;-760;UpadloϾ
1,32;0,38;0,87;-0,24;-57,85;45,81;-18,18;-63,16;0;31,08;105,08;94,02;0,44;0,44;0,06;-1,34;85,06;99,61;-128,95;UpadloϾ
0,43;1,35;1,87;-0,79;-58,31;151,26;-183,72;-58,52;1,95;8,71;1145,93;806,4;0,49;0,49;0,38;-0,7;70,37;100;-38,52;UpadloϾ
0,08;0,07;0,11;-0,04;-59,65;87,18;-50;-57,14;0;40,62;319,38;0;0,59;0,59;0,03;-0,57;0;100;-57,14;UpadloϾ
1,58;1,34;1,95;-0,81;-60,17;131,51;-51,27;-47,76;53,83;198,18;309,56;110,89;0,77;0,64;0,02;-0,29;52,45;88,81;-45,52;UpadloϾ
1,89;1,94;2,94;-1,17;-60,45;117,34;-61,9;-52,06;60,17;3,52;374,66;13,52;0,18;0,07;0,01;-1,21;7,91;97,08;-51,55;UpadloϾ
0,78;0,47;0,19;-0,29;-60,57;-103,06;-37,18;-61,7;0;171,33;219,94;0;2,28;2,28;0,07;0,55;0,16;100;57,45;UpadloϾ
0,91;2,25;3,18;-1,42;-60,67;147,2;-156,04;-57,78;441,04;12,54;902,47;557,53;0,44;0,1;0;-0,82;59,48;99,69;-41,33;UpadloϾ
0,51;0,13;0,03;-0,07;-60,75;-80,52;-13,73;-53,85;0;78,14;93,04;0;3,98;3,98;0,19;0,69;0,88;100;76,92;UpadloϾ
0,29;0,36;0,62;-0,2;-62,09;84,57;-68,97;-55,56;119,76;248,57;453,1;314,66;0,58;0,42;0,08;-0,67;74,7;100;-72,22;UpadloϾ
0,01;0,19;0,39;-0,13;-62,59;62,83;-1300;-68,42;0;1895,34;6935;0;2,09;2,09;0,08;0,16;184,89;7,38;-100;UpadloϾ
1,59;0,35;0,41;-0,24;-65,2;399,13;-15,09;-68,57;5,07;13,9;80,35;0;0,5;0,44;0,24;-0,63;0;100;-17,14;UpadloϾ
0,36;0,33;0,8;-0,2;-66,2;46,65;-55,56;-60,61;227,05;27,4;334,58;30,42;0,58;0,17;0,01;-0,64;84,06;68,83;-142,42;UpadloϾ
2,96;0,92;0,93;-0,57;-66,61;16469,23;-19,26;-61,96;29,37;44,82;113,45;28,36;0,69;0,43;0;-0,28;27,44;100,03;0;UpadloϾ
2,91;1,74;2,13;-1,23;-66,97;294,01;-42,27;-70,69;18,33;152,82;218,25;70,24;0,65;0,58;0;-0,45;30,65;100,01;-22,99;UpadloϾ
0,3;0,21;0,5;-0,13;-67,31;48,62;-43,33;-61,9;0;40,91;255,5;304,17;0,33;0,33;0,17;-0,95;212,86;65,52;-138,1;UpadloϾ
0,21;0,09;0,14;-0,06;-68,18;112,83;-28,57;-66,67;88,66;39,31;156,43;139,05;0,57;0,21;0,01;-0,78;79,41;100;-55,56;UpadloϾ
0,76;1,57;1,6;-1,13;-69,08;3815,1;-148,68;-71,97;44,49;137,08;754,01;0;0,61;0,48;0;-0,18;44,09;44,66;-1,91;UpadloϾ
1,72;2,48;4,93;-1,83;-70,74;71,84;-106,4;-73,79;0;3,11;526,28;524,16;0,07;0,07;0;-1,92;95,4;100;-98,39;UpadloϾ
34,76;9,92;9,33;-6,47;-70,8;-1186,08;-18,61;-64,31;1,04;22,93;104,17;12,5;0,68;0,66;0,06;-0,22;32,56;78,67;5,95;UpadloϾ
17,57;2,01;3,54;-1,44;-71,35;94,39;-8,2;-54,23;0,07;5,09;41,76;14,54;0,55;0,54;0,1;-0,8;34,62;100;-75,62;UpadloϾ
0,86;1,51;9,28;-1,12;-71,93;13,99;-130,23;-74,17;223,86;123,69;640,87;1532,15;0,09;0,03;0;-5,58;239,07;99,69;-514,57;UpadloϾ
0,07;0,1;0,07;-0,07;-72,82;-265,45;-100;-70;52,04;57,2;521,43;0;1,38;1,24;0,08;0,3;0;100;30;UpadloϾ
0,29;0,4;0,29;-0,29;-72,82;-265,45;-100;-72,5;50,24;55,23;503,45;0;1,38;1,24;0,08;0,28;0;100;27,5;UpadloϾ
1,54;0,83;0,95;-0,56;-73,06;468,53;-36,36;-67,47;42,39;92,5;196,72;4,74;0,81;0,62;0,04;-0,2;3,13;100;-15,66;UpadloϾ
0,29;0,1;0,05;-0,08;-73,52;-146,36;-27,59;-80;2,87;87,93;125,86;0;1,85;1,81;0,36;0,5;0;100;50;UpadloϾ
1,22;0,27;0,47;-0,18;-73,64;101,02;-14,75;-66,67;0;75,56;80,78;0;0,58;0,58;0;-0,67;0,04;100;-74,07;UpadloϾ
66,17;9,71;15,81;-7,15;-73,66;117,25;-10,81;-73,64;1,95;20,85;53,56;12,19;0,36;0,34;0,02;-0,95;29,1;91,58;-62,82;UpadloϾ
0,03;0,27;2,99;-0,21;-73,84;7,44;-700;-77,78;90,34;165,56;3285;0;0,01;0,01;0;-9,74;37,83;85,19;-1003,7;UpadloϾ
10,19;2,8;5,45;-2,14;-76,31;80,52;-21;-81,43;65,52;16,09;100,29;0;0,46;0,12;0,01;-1,05;0;100;-94,64;UpadloϾ
1,2;1,5;2,43;-1,15;-76,63;122,43;-95,83;-76,67;6,66;113,1;456,25;0;0,23;0,22;0;-0,99;19,72;79,35;-62,67;UpadloϾ
0,92;4,19;5,37;-3,22;-76,82;272,02;-350;-76,85;1538,16;110,71;1662,34;321,36;0,78;0,06;0;-0,28;19,24;100;-28,16;UpadloϾ
7,65;3,66;5,62;-2,98;-76,91;142,86;-38,95;-83,06;75,72;55,11;174,63;53,44;0,57;0,29;0;-0,68;31,8;97,64;-53,83;UpadloϾ
11,03;2,46;5,06;-1,9;-77,09;72,97;-17,23;-77,24;0;4,57;81,41;18,86;0,49;0,49;0,01;-1,06;23;100;-105,69;UpadloϾ
2,23;14,61;9,11;-11,43;-78,26;-208,12;-512,56;-82,89;0;10,28;2391,32;40,92;0,14;0,14;0,1;-0,12;39,39;21,69;37,58;UpadloϾ
0,97;0,1;0,24;-0,08;-79,49;56,48;-8,25;-80;9,79;19,09;37,63;0;0,41;0,31;0,05;-1,4;0;100;-140;UpadloϾ
0,3;0,03;0,03;-0,02;-80,87;-620;-6,67;-66,67;15,24;8,57;36,5;12,17;1,08;0,6;0,2;0;36,52;100;0;UpadloϾ
1,27;1,25;1,52;-1,07;-81,15;373,84;-84,25;-85,6;0;196,91;359,25;71,85;0,57;0,57;0,07;-0,55;19,13;100;-21,6;UpadloϾ
0,22;0,67;0,96;-0,5;-81,62;187,75;-227,27;-74,63;0;353,37;1111,59;1012,05;0,33;0,33;0;-0,78;115,76;88,47;-43,28;UpadloϾ
1,05;0,38;1,99;-0,33;-81,84;19,5;-31,43;-86,84;0;21,27;132,1;128,62;0,18;0,18;0;-3,18;104,62;70,79;-423,68;UpadloϾ
0,08;0,13;0,32;-0,11;-82,68;57,04;-137,5;-84,62;0;61,15;593,13;45,63;0,76;0,76;0,46;-0,31;126,71;52,8;-146,15;UpadloϾ
3,95;1,88;3,46;-1,44;-83,14;98,37;-36,46;-65,43;3,35;48,29;173,72;8,32;0,51;0,5;0,09;-0,82;6,35;99,27;-84,57;UpadloϾ
1,46;3,84;1,16;-2,98;-84,18;-120,41;-204,11;-78,39;3,36;142,94;960;0;4,85;4,83;3,96;0,72;0;67,93;69,79;UpadloϾ
0,03;0,17;3,15;-0,14;-84,56;4,97;-466,67;-82,35;0;0;2068,33;34796,67;0,06;0,06;0;-16,12;1772,58;100;-1747,06;UpadloϾ
0,01;0,04;0,53;-0,03;-84,62;7,18;-300;-75;714,67;0;1460;0;0,04;0;0;-11,75;0;100;-1200;UpadloϾ
0,16;0,15;0,34;-0,12;-85,05;67,18;-75;-80;0;15,3;342,19;0;0,25;0,25;0,06;-0,27;0;16,18;-126,67;UpadloϾ
1,82;0,15;0,3;-0,13;-85,99;89,65;-7,14;-93,33;14,77;0,66;30,08;0;0,43;0,17;0,1;-1,2;0;99,48;-93,33;UpadloϾ
0,03;0,05;0,07;-0,04;-88;285,19;-133,33;-80;0;396,27;608,33;0;0,67;0,67;0;-0,4;0;100;-40;UpadloϾ
20,36;13,03;24,09;-11,55;-88,6;104,44;-56,73;-88,64;23,69;77,88;233,59;172,46;0,3;0,24;0,02;-1,18;80,72;91,24;-84,88;UpadloϾ
1,24;0,43;0,71;-0,4;-88,94;135,71;-32,26;-93,02;3,14;37,95;126,57;67,7;0,53;0,52;0;-0,81;50,92;100;-65,12;UpadloϾ
6,31;2,38;4,13;-1,95;-89;121,41;-30,9;-83,19;0;123,3;137,67;0;0,55;0,55;0;-0,72;0,01;100;-73,53;UpadloϾ
0,48;0,43;0,65;-0,35;-89,28;177,03;-72,92;-81,4;44,24;45,78;326,98;0;0,25;0,16;0,03;-1,02;0;100;-51,16;UpadloϾ
0,62;0,24;0,39;-0,2;-90,11;137,94;-32,26;-83,33;42,78;31,75;141,29;70,65;0,53;0,34;0,01;-0,71;53,6;100;-62,5;UpadloϾ
6,43;0,71;1,33;-0,68;-91,24;103,85;-10,58;-95,77;2,92;21,57;40,3;7,95;0,53;0,49;0,12;-0,94;18,97;100;-87,32;UpadloϾ
4,16;2,81;5,53;-2,74;-92,01;95,38;-65,87;-100;29,66;62,97;246,55;192,15;0,41;0,34;0,04;-1,19;78,24;96,31;-96,8;UpadloϾ
0,08;1,93;3,59;-1,79;-92,6;107,63;-2237,5;-92,75;0;1044,35;8805,63;0;0,09;0,09;0;-1,69;0;99,86;-86,01;UpadloϾ
0,39;0,15;0,37;-0,13;-93,49;68,06;-33,33;-86,67;79,85;51,66;140,38;0;0,42;0,18;0,01;-1,33;0;100;-140;UpadloϾ
8,74;4,04;3,94;0;-93,94;-3967,35;0;-86,63;0;91,8;168,72;3,34;0,91;0,91;0,19;-0,08;4,38;97,79;2,48;UpadloϾ
1,05;1,05;1,25;-0,91;-94,61;503,2;-86,67;-86,67;0;2,08;365;45,19;0,14;0,14;0,05;-0,31;92,04;33,98;-19,05;UpadloϾ
0,5;0,15;0,37;-0,14;-94,99;69,38;-28;-93,33;0;87,15;109,5;94,9;0,46;0,46;0,05;-1,07;115,03;90,84;-140;UpadloϾ
2,42;3,69;9,19;-3,5;-95,01;63,65;-144,63;-94,85;157,39;187,89;556,55;72,4;0,34;0,23;0;-1,63;13,07;99,62;-149,05;UpadloϾ
1,38;0,87;1,31;-0,86;-98,86;192,83;-62,32;-98,85;28,86;20,25;230,11;121,67;0,21;0,12;0;-1,1;64,02;92,75;-50,57;UpadloϾ
8,84;11,64;17,77;-11,61;-99,72;189,57;-131,33;-98,28;219,4;118,9;480,61;251,04;0,49;0,2;0;-0,77;52,22;100;-52,58;UpadloϾ
0,58;0,23;0,54;-0,22;-100,42;77,1;-37,93;-86,96;6,31;115,56;144,74;0;0,43;0,42;0,07;-1,22;0;100;-130,43;UpadloϾ
0,51;0,26;0,17;-0,24;-101,25;-293,88;-47,06;-84,62;2,75;44,75;186,08;0;0,63;0,61;0,04;-0,23;0;100;34,62;UpadloϾ
1,2;1,97;3,11;-2,1;-101,97;176,54;-175;-106,6;58,84;228,48;599,21;82,13;0,55;0,45;0;-0,45;75,25;60,49;-57,87;UpadloϾ
1,36;0,45;0,72;-0,42;-102,65;169,64;-30,88;-93,33;18,36;53,35;120,77;48,31;0,91;0,77;0;-0,09;95,24;68,03;-60;UpadloϾ
1,57;0,53;1,64;-0,57;-102,81;48,84;-36,31;-107,55;7,87;96,69;123,22;151,11;0,32;0,3;0;-2,19;117,74;100;-209,43;UpadloϾ
0,27;0,16;0,04;-0,17;-103,09;-140,52;-62,96;-106,25;7,05;3,31;216,3;54,07;1,74;1,62;1,44;0,19;23,77;100;75;UpadloϾ
2,64;0,78;1,24;-0,74;-103,36;173,27;-28,03;-94,87;2,38;61,83;107,84;125,81;0,45;0,43;0,05;-0,81;126,5;100;-58,97;UpadloϾ
29,12;10,83;19,67;-11,29;-104,23;127,83;-38,77;-104,25;3;78,75;135,75;88,37;0,36;0,35;0,01;-1,12;70,61;96,95;-81,53;UpadloϾ
2,33;0,18;0,37;-0,19;-104,35;94,66;-8,15;-105,56;0;21,36;28,2;10,97;0,47;0,47;0,03;-1,11;39,74;100;-111,11;UpadloϾ
0,13;0,04;0,34;-0,04;-106,28;13,44;-30,77;-100;6,12;0;112,31;0;0,07;0,06;0;-8,25;0;100;-750;UpadloϾ
0,89;0,11;0,36;-0,12;-106,57;48,51;-13,48;-109,09;0;0;45,11;0;0,91;0,91;0,9;-0,09;209,58;34,54;-227,27;UpadloϾ
0,32;0,3;0,83;-0,33;-108,11;62,22;-103,13;-110;13,21;50,68;342,19;558,91;0,09;0,07;0,01;-2,47;167,09;98,18;-173,33;UpadloϾ
5,26;1,17;2,88;-1,29;-109,69;75,41;-24,52;-110,26;1,49;77,98;81,19;0,69;0,41;0,4;0,01;-1,46;0,45;100;-146,15;UpadloϾ
0,22;0,09;0,18;-0,1;-110,34;102,6;-45,45;-111,11;0,42;1,67;149,32;0;0,02;0,02;0;-0,89;113,13;45,09;-100;UpadloϾ
0,22;0,07;0,58;-0,08;-112,41;14,31;-36,36;-114,29;0;70,36;116,14;33,18;0,12;0,12;0,02;-5,14;323,72;66,01;-728,57;UpadloϾ
0,15;0,11;0,13;-0,12;-113,69;534,01;-80;-109,09;0;54,36;267,67;146;0,58;0,58;0,1;-0,36;100,58;62,9;-18,18;UpadloϾ
15,61;5,21;9,85;-5,96;-114,38;128,49;-38,18;-114,4;13,71;59,08;121,82;0;0,51;0,44;0,03;-0,77;30,31;83,96;-89,06;UpadloϾ
4,95;0,28;0,19;-0,34;-121,64;-358,84;-6,87;-121,43;5,87;8,98;20,65;0;1,51;1,08;0,4;0,36;0;100;35,71;UpadloϾ
0,68;0,3;0,67;-0,38;-122,15;100,37;-55,88;-126,67;0;28,61;161,03;16,1;0,16;0,16;0;-1,97;9,22;100;-123,33;UpadloϾ
1,37;0,64;0,54;-0,8;-125,07;-858,44;-58,39;-125;0;22,58;170,51;45,29;0,98;0,98;0,01;-0,02;27,27;100;14,06;UpadloϾ
0,13;0,04;0,12;-0,05;-126,02;66,46;-38,46;-125;37,49;48,46;112,31;56,15;0,27;0,16;0;-2,25;37,01;100;-200;UpadloϾ
5,29;2,33;3,31;-2,86;-133,14;318,86;-54,06;-122,75;60,64;32,36;160,77;0;0,66;0,4;0,24;-0,44;0;100;-41,63;UpadloϾ
1010,39;206,96;374,62;0;-133,64;164,96;0;-125,74;6,41;2,78;74,76;33,89;0,1;0,05;0,03;-1,59;45,34;97,57;-81,01;UpadloϾ
9,43;0,34;0,04;-0,43;-135,87;-153,68;-4,56;-126,47;0;2,67;13,16;0;5,1;5,1;1,13;0,44;0;100;88,24;UpadloϾ
11,07;5;8,75;-6,84;-136,74;182,36;-61,79;-136,8;3,54;14,72;164,86;83,42;0,18;0,17;0,01;-1,43;50,7;100;-75;UpadloϾ
0,21;0,05;0,07;-0,06;-137,07;266,56;-28,57;-120;4,92;48,37;86,9;0;0,66;0,62;0,02;-0,4;0;100;-40;UpadloϾ
3,36;0,58;0,52;-0,74;-138,54;-1371,22;-22,02;-127,59;0;0;63,01;0;1,11;1,11;0;0,09;0;100;10,34;UpadloϾ
0,91;0,22;2,81;-0,31;-139,05;11,9;-34,07;-140,91;0;55,61;88,24;0;0,08;0,08;0,02;-11,23;53,16;95,81;-1177,27;UpadloϾ
0,54;0,09;0,22;-0,12;-139,31;97,36;-22,22;-133,33;4,02;0,57;60,83;0;0,06;0,03;0;-2,11;0;97,28;-144,44;UpadloϾ
3,48;0,68;1,56;-0,95;-139,43;108,44;-27,3;-139,71;4,91;8,45;71,32;73,42;0,3;0,27;0,14;-1,6;101,99;100;-129,41;UpadloϾ
